dmu,fractal,time_taken_for_tests,time_per_req,transfer_rate,hurst,req_per_sec
bbr_apache2_1gb_scale1,1.11020990733497,6.597,3.298,109.55,0.79956402430341,303.18
bbr_apache2_1gb_scale2,1.03239414514166,33.032,3.303,109.39,0.781991117252486,302.73
bbr_apache2_1gb_scale3,1.16623736293487,72.014,3.601,100.35,0.653035717277389,277.72
bbr_apache2_4gb_scale1,1.40940736263035,6.466,3.233,111.76,0.726952150049161,309.31
bbr_apache2_4gb_scale2,1.02254469170951,32.232,3.223,112.10,0.783308018345138,310.25
bbr_apache2_4gb_scale3,1.17193190705956,63.411,3.171,113.96,0.718385751266715,315.40
bbr_nginx_1gb_scale1,1,3.170,1.585,210.11,0.809183314545735,630.93
bbr_nginx_1gb_scale2,1.01387051062225,14.922,1.492,223.17,0.805556104216662,670.15
bbr_nginx_1gb_scale3,1.00995239767077,29.666,1.483,207.27,0.796934826247755,674.18
bbr_nginx_4gb_scale1,1.05891047842242,11.873,5.937,56.09,0.795729881630929,168.44
bbr_nginx_4gb_scale2,1.23779725873198,59.434,5.943,56.03,0.78198898208463,168.25
bbr_nginx_4gb_scale3,1.6103529274319,120.133,6.007,55.44,0.725358614948015,166.48
bic_apache2_1gb_scale1,1.32570374222614,6.531,3.266,110.65,0.742989486839543,306.22
bic_apache2_1gb_scale2,1.04744636632033,33.795,3.380,106.92,0.759621356275197,295.90
bic_apache2_1gb_scale3,1.18294120957095,66.274,3.314,109.04,0.733242668626487,301.78
bic_apache2_4gb_scale1,1.36126352863431,6.347,3.173,113.86,0.714746863367542,315.13
bic_apache2_4gb_scale2,1,31.602,3.160,114.34,0.782162551270088,316.43
bic_apache2_4gb_scale3,1.33820381168124,64.009,3.200,112.90,0.736912153201664,312.46
bic_nginx_1gb_scale1,1.0317611571695,3.245,1.623,205.22,0.804516076799777,616.27
bic_nginx_1gb_scale2,1,15.447,1.545,215.58,0.79846999146658,647.37
bic_nginx_1gb_scale3,1.01332482947832,30.790,1.540,216.31,0.805451379319639,649.56
bic_nginx_4gb_scale1,1.18021743001181,12.036,6.018,55.33,0.795696092136859,166.16
bic_nginx_4gb_scale2,1.44339258883836,59.575,5.958,55.90,0.769360468388983,167.85
bic_nginx_4gb_scale3,1.39308035159845,121.335,6.067,54.89,0.780362476493638,164.83
cdg_apache2_1gb_scale1,1.26699207842893,6.399,3.200,112.93,0.745457365454774,312.55
cdg_apache2_1gb_scale2,1.00497912447801,32.913,3.291,109.78,0.779931140802135,303.83
cdg_apache2_1gb_scale3,1.28597591911927,64.713,3.236,111.67,0.765141127527277,309.06
cdg_apache2_4gb_scale1,1.53788723500616,6.636,3.318,108.90,0.726638965792682,301.38
cdg_apache2_4gb_scale2,1.0242229196849,32.264,3.226,111.99,0.7930216092854,309.94
cdg_apache2_4gb_scale3,1.26391274373406,63.199,3.160,114.35,0.711640428137542,316.46
cdg_nginx_1gb_scale1,1.02111986109443,3.097,1.549,215.03,0.807440163440361,645.72
cdg_nginx_1gb_scale2,1.04115038529073,15.008,1.501,221.89,0.806178735001725,666.33
cdg_nginx_1gb_scale3,1.02805301126258,30.376,1.519,219.25,0.80481168899585,658.42
cdg_nginx_4gb_scale1,1.14532171333466,11.765,5.882,56.61,0.775542648375577,170.00
cdg_nginx_4gb_scale2,1.48512860220442,59.185,5.919,56.27,0.760928092410444,168.96
cdg_nginx_4gb_scale3,1.49261447540588,120.795,6.040,55.14,0.746811882348893,165.57
cubic_apache2_1gb_scale1,1.21823002181143,6.545,3.273,110.41,0.74637029191222,305.56
cubic_apache2_1gb_scale2,1.11298285829535,33.369,3.337,108.28,0.749164158835775,299.68
cubic_apache2_1gb_scale3,1.39404976287948,66.327,3.316,108.95,0.688159294312493,301.54
cubic_apache2_4gb_scale1,1.17445416449826,6.577,3.288,109.88,0.749640483717826,304.10
cubic_apache2_4gb_scale2,1.09541665342405,32.614,3.261,110.79,0.731948132006318,306.62
cubic_apache2_4gb_scale3,1.53707812108961,63.080,3.154,114.56,0.702464471463121,317.06
cubic_nginx_1gb_scale1,1.00678052158577,2.960,1.480,225.03,0.809677561665327,675.76
